"filename", "language", "JSON", "Minecraft Function", "Markdown", "CSV", "comment", "blank", "total"
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\debug\portal\stage_1.mcfunction", "Minecraft Function", 0, 4, 0, 0, 0, 0, 4
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\debug\portal\stage_2.mcfunction", "Minecraft Function", 0, 4, 0, 0, 0, 0, 4
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\debug\portal\stage_3.mcfunction", "Minecraft Function", 0, 4, 0, 0, 0, 0, 4
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\debug\villager\fisher\respawn_all.mcfunction", "Minecraft Function", 0, 2, 0, 0, 0, 1, 3
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\debug\villager\fisher\spawn_here.mcfunction", "Minecraft Function", 0, 1, 0, 0, 0, 1, 2
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\debug\villager\stage-4_main\respawn_all.mcfunction", "Minecraft Function", 0, 2, 0, 0, 0, 1, 3
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\debug\villager\stage-4_main\spawn_here.mcfunction", "Minecraft Function", 0, 1, 0, 0, 0, 1, 2
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\enderchest\admin-settings\first-setup.mcfunction", "Minecraft Function", 0, 19, 0, 0, 0, 1, 20
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\enderchest\handelsplatz\buy\get_price.mcfunction", "Minecraft Function", 0, 1, 0, 0, 0, 1, 2
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\enderchest\handelsplatz\buy\give_tokens.mcfunction", "Minecraft Function", 0, 5, 0, 0, 0, 0, 5
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\enderchest\handelsplatz\buy\give_tokens_pre.mcfunction", "Minecraft Function", 0, 2, 0, 0, 0, 0, 2
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\enderchest\handelsplatz\buy\main.mcfunction", "Minecraft Function", 0, 24, 0, 0, 3, 9, 36
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\enderchest\handelsplatz\buy\not_enough_tokens.mcfunction", "Minecraft Function", 0, 5, 0, 0, 0, 0, 5
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\enderchest\handelsplatz\buy\remove_from_database.mcfunction", "Minecraft Function", 0, 1, 0, 0, 0, 0, 1
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\enderchest\handelsplatz\load.mcfunction", "Minecraft Function", 0, 63, 0, 0, 0, 5, 68
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\enderchest\handelsplatz\load_offers\calc_pages.mcfunction", "Minecraft Function", 0, 3, 0, 0, 0, 1, 4
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\enderchest\handelsplatz\load_offers\load_to_page.mcfunction", "Minecraft Function", 0, 20, 0, 0, 0, 2, 22
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\enderchest\handelsplatz\load_offers\main.mcfunction", "Minecraft Function", 0, 22, 0, 0, 1, 7, 30
