"filename", "language", "JSON", "MCMETA", "mcfunction", "comment", "blank", "total"
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\advancement\mana-items\magische-schale.json", "JSON", 23, 0, 0, 0, 0, 23
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\advancement\mana-items\messstab.json", "JSON", 23, 0, 0, 0, 0, 23
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\advancement\mana-items\schrumpfstab.json", "JSON", 23, 0, 0, 0, 0, 23
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\advancement\mining-frucht.json", "JSON", 18, 0, 0, 0, 0, 18
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\advancement\other\dectect_placing_stage_3.json", "JSON", 27, 0, 0, 0, 2, 29
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\advancement\other\detect_bonemeal.json", "JSON", 15, 0, 0, 0, 1, 16
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\advancement\other\detect_farmslot_harvest_stage_4.json", "JSON", 19, 0, 0, 0, 3, 22
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\advancement\other\detect_farmslot_placing_stage_2.json", "JSON", 24, 0, 0, 0, 3, 27
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\advancement\other\detect_farmslot_placing_stage_4.json", "JSON", 18, 0, 0, 0, 2, 20
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\advancement\rettungs-plattform.json", "JSON", 18, 0, 0, 0, 1, 19
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\advancement\utility\allay_click.json", "JSON", 16, 0, 0, 0, 1, 17
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\advancement\utility\schrumpfstab_glowing.json", "JSON", 16, 0, 0, 0, 0, 16
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\advancement\utility\schrumpfstab_hit_others.json", "JSON", 26, 0, 0, 0, 0, 26
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\damage_type\boss_stage_1.json", "JSON", 6, 0, 0, 0, 0, 6
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\damage_type\boss_stage_2.json", "JSON", 6, 0, 0, 0, 0, 6
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\damage_type\boss_stage_3.json", "JSON", 6, 0, 0, 0, 0, 6
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\damage_type\boss_stage_4.json", "JSON", 6, 0, 0, 0, 0, 6
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\dimension\hub.json", "JSON", 18, 0, 0, 0, 2, 20
